date,count,uniques
2026-07-22,40,6
2026-07-23,12,9
2026-07-24,39,7
2026-07-25,5,4
2026-07-26,21,6
2026-07-27,13,8
2026-07-28,27,11
2026-07-29,12,7
2026-07-30,23,11
2026-07-31,3,3
2026-08-01,20,10
2026-08-02,17,6
2026-08-03,22,8
2026-08-04,94,35
2026-08-05,116,38
2026-08-06,26,11
2026-08-07,44,15
2026-08-08,10,6
2026-08-09,21,6
2026-08-10,45,19
2026-08-11,50,8
2026-08-12,17,10
2026-08-13,38,13
2026-08-14,48,22
2026-08-15,28,18
2026-08-16,17,9
2026-08-17,18,11
2026-08-18,13,11
2026-08-19,15,7
2026-08-20,20,15
2026-08-21,25,17
